equipment,model,file,folder,download_date
Aircraft,An-26_transport_aircraft,an-26_transport_aircraft_2006-an-26-transport-aircraft-destr-06-03-22.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,An-26_transport_aircraft,an-26_transport_aircraft_489.png,img_ukraine,2023-10-02
Aircraft,L-39_Albatros,l-39_albatros_2002-l-39-destr-24-02-22.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,L-39_Albatros,l-39_albatros_2003-l-39-destr-24-02-22.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,L-39_Albatros,l-39_albatros_2011-l-39-destr-17-03-23.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,L-39_Albatros,l-39_albatros_2012-l39-destr-04-03-22.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,L-39_Albatros,l-39_albatros_3325.png,img_ukraine_2024-07-12,2024-07-12
Aircraft,L-39_Albatros,l-39_albatros_64.png,img_ukraine,2023-10-02
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_1300.jpg,img_ukraine,2023-10-02
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_2001-mig29-destr-22-12-23.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_2003-mig29-destr-13-02-23.jpg,img_ukraine,2023-10-02
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_2003-mig29-destr-20-04-24.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_2003-mig29-destr-30-09-23.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_2004-mig29-destr-30-09-23.jpg,img_ukraine_2024-07-12,2024-07-12
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_2007-mig29-destr-24-07-23.png,img_ukraine,2023-10-02
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_2008-mig29-destr-24-02-22.jpg,img_ukraine,2023-10-02
Aircraft,MiG-29_fighter_aircraft,mig-29_fighter_aircraft_2009-mi-g-29-fighter-aircraft-dam-18-04-24.jpg,img_ukraine_2024-07-12,2024-07-12
