equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,defected and captured,destroyed,destroyed in a non-combat related incident,sunk
Tanks,T-54-3M,,the Soviet Union,2,,,,,,,1.0,,,,1.0,,
Tanks,T-54B,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,T-55A,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Tanks,Unknown T-54/55,,the Soviet Union,5,,,,,,,2.0,,,,3.0,,
Tanks,T-62 Obr. 1967,,the Soviet Union,3,,,1.0,,,,,,,,2.0,,
Tanks,T-62 Obr. 1972,,the Soviet Union,2,1.0,,,,,,,,,,1.0,,
Tanks,T-62M,,the Soviet Union,93,1.0,,29.0,,,8.0,5.0,5.0,,,45.0,,
Tanks,T-62M Obr. 2022,,Russia,14,2.0,,,,,2.0,,,,,10.0,,
Tanks,T-62MV,,the Soviet Union,27,1.0,,9.0,,,1.0,3.0,1.0,,,12.0,,
Tanks,T-62MV Obr. 2022,,Russia,9,,,,,,1.0,4.0,,,,4.0,,
Tanks,Unknown T-62,,Russia,13,2.0,,,,,,1.0,,,,10.0,,
Tanks,T-64A,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Tanks,T-64BV,,the Soviet Union,88,2.0,,2.0,,1.0,10.0,4.0,1.0,,,68.0,,
Tanks,T-64BVK,,the Soviet Union,2,,,,,,,,,,,2.0,,
Tanks,T-72 'Ural',,the Soviet Union,4,1.0,,,,,,1.0,,,,2.0,,
Tanks,T-72A,,the Soviet Union,44,1.0,,9.0,1.0,,1.0,6.0,,,,26.0,,
Tanks,T-72AV,,the Soviet Union,21,,,3.0,,,,2.0,1.0,,,15.0,,
Tanks,T-72B,,the Soviet Union,349,16.0,,59.0,3.0,,8.0,13.0,6.0,,,244.0,,
Tanks,T-72B Obr. 1989,,the Soviet Union,106,4.0,1.0,15.0,1.0,1.0,4.0,9.0,3.0,,,68.0,,
