equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,scuttled,sunk
Tanks,M-55S,,Slovenia,2,,,,,,1.0,,,,1.0,,
Tanks,T-64A,,the Soviet Union,2,,,,1.0,,,,,,1.0,,
Tanks,T-64B,,the Soviet Union,4,,,,1.0,,,,1.0,,2.0,,
Tanks,T-64BV,,the Soviet Union,288,,5.0,,46.0,8.0,29.0,6.0,3.0,,191.0,,
Tanks,T-64BV Zr. 2017,,Ukraine,109,,4.0,,29.0,1.0,5.0,5.0,1.0,,64.0,,
Tanks,T-64B1M,,Ukraine,10,,,,7.0,,,,,,3.0,,
Tanks,T-64BM 'Bulat',,Ukraine,20,,,,3.0,,3.0,,,,14.0,,
Tanks,T-64BM2 'Bulat',,Ukraine,5,,,,,,1.0,,,,4.0,,
Tanks,Unknown T-64,,Ukraine,2,,,,,,,,,,2.0,,
Tanks,T-72 'Ural',,the Soviet Union,6,,1.0,,1.0,,1.0,,,,3.0,,
Tanks,T-72M/M1(R),,Poland,86,,1.0,,8.0,,4.0,8.0,1.0,,64.0,,
Tanks,T-72EA,,the Czech Republic,9,,,,1.0,,2.0,,,,6.0,,
Tanks,T-72AV,,the Soviet Union,48,,4.0,,5.0,,2.0,4.0,2.0,,31.0,,
Tanks,T-72B,,the Soviet Union,46,,,,5.0,,2.0,,1.0,,38.0,,
Tanks,T-72AMT,,Ukraine,20,,,,4.0,,1.0,2.0,2.0,,11.0,,
Tanks,T-72AMT Zr.2022,,Ukraine,3,,,,,,,,,,3.0,,
Tanks,PT-91 Twardy,,Poland,8,,,,,,1.0,3.0,,,4.0,,
Tanks,Unknown T-72,,Ukraine,21,,,,,,1.0,,,,20.0,,
Tanks,T-80BV,,the Soviet Union,64,,,,7.0,,4.0,2.0,6.0,,45.0,,
Tanks,Leopard 1A5,,Germany,1,,,,,,1.0,,,,,,
Tanks,Leopard 2A4,,Germany,21,,,,,,5.0,6.0,,,10.0,,
Tanks,Leopard 2A6,,Germany,11,,,,,,3.0,2.0,,,6.0,,
Tanks,Stridsvagn 122,,Sweden,7,,,,,,1.0,5.0,,,1.0,,
Tanks,Challenger 2,,the United Kingdom,1,,,,,,,,,,1.0,,
Tanks,M1A1 SA Abrams,,the United States,10,,,,,,1.0,5.0,,,4.0,,
Tanks,Unknown tank,,Ukraine,59,,1.0,,,,4.0,1.0,,,53.0,,
Armoured Fighting Vehicles,BMPT Azovets,,Ukraine,1,,,,1.0,,,,,,,,
Armoured Fighting Vehicles,AMX-10 RC(R),,France,4,,2.0,,1.0,,,,,,1.0,,
Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,,the Soviet Union,51,,3.0,,11.0,,2.0,1.0,1.0,,33.0,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,72,,,,27.0,,1.0,,,,44.0,,
Armoured Fighting Vehicles,BRDM-2T(A),,Ukraine,1,,,,1.0,,,,,,,,
Armoured Fighting Vehicles,BRDM-2L1,,Ukraine,54,,,,17.0,,1.0,,,,36.0,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,11,,,,2.0,,,,,,9.0,,
Armoured Fighting Vehicles,Vepr,,Ukraine,2,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,73,,,,8.0,,3.0,1.0,,,61.0,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,14,,,,2.0,,2.0,,,,10.0,,
Armoured Fighting Vehicles,MT-LB-AT,,the Soviet Union,3,,,,,,,,,,3.0,,
Armoured Fighting Vehicles,MT-LB with BPU-1 turret,,the Soviet Union,1,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LB with 85mm D-44 gun,,the Soviet Union,1,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,BTS-4 ARV with ZU-23 AA gun,,the Soviet Union,1,,,,1.0,,,,,,,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,7,,,,3.0,,,,,,4.0,,
Armoured Fighting Vehicles,MT-LB-S Ambulance,,Ukraine,27,,1.0,,5.0,,,,,,21.0,,
Armoured Fighting Vehicles,BMM-70 Ambulance,,Ukraine,2,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,BMM-4C Ambulance,,Ukraine,4,,,,2.0,,,,,,2.0,,
Armoured Fighting Vehicles,BPzV Svatava combat reconnaissance vehicle,,the Czech Republic,3,,,,,,,,,,3.0,,
Armoured Fighting Vehicles,Unknown AFV,,Ukraine,55,,,,,,6.0,1.0,,,48.0,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,403,0.0,17.0,1.0,47.0,,14.0,7.0,2.0,,315.0,,
Infantry Fighting Vehicles,BMP-1TS,,Ukraine,3,,,,,,,,,,3.0,,
Infantry Fighting Vehicles,BMP-1U Shkval,,Ukraine,1,,,,1.0,,,,,,,,
Infantry Fighting Vehicles,BWP-1,,Poland,6,,,,1.0,,,,,,5.0,,
Infantry Fighting Vehicles,Pbv 501A,,Sweden,14,,,,1.0,,1.0,2.0,,,10.0,,
Infantry Fighting Vehicles,BVP M-80A,,Yugoslavia,8,,,,,,3.0,1.0,1.0,,3.0,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,220,,8.0,,25.0,,4.0,6.0,2.0,,175.0,,
Infantry Fighting Vehicles,BMP-2D,,the Soviet Union,3,,,,1.0,,,,,,2.0,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,31,,,,,,,1.0,,,30.0,,
Infantry Fighting Vehicles,PRP-3 with a BMD-2 turret,,the Soviet Union,4,,,,,,,,,,4.0,,
Infantry Fighting Vehicles,PRP-3 with a BMP-1 turret,,the Soviet Union,2,,,,,,,,,,2.0,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,6,,,,4.0,,,,,,2.0,,
Infantry Fighting Vehicles,M2A2 Bradley ODS-SA,,the United States,93,,3.0,,1.0,,24.0,19.0,3.0,,43.0,,
Infantry Fighting Vehicles,CV9040C,,Sweden,6,,,,,,3.0,1.0,1.0,,1.0,,
Infantry Fighting Vehicles,Marder 1A3,,Germany,20,,1.0,,1.0,,2.0,7.0,,,9.0,,
Infantry Fighting Vehicles,BTR-3,,Ukraine,44,,,,12.0,,1.0,,,,31.0,,
Infantry Fighting Vehicles,BTR-4,,Ukraine,96,,3.0,,19.0,3.0,5.0,4.0,,,62.0,,
Infantry Fighting Vehicles,KTO Rosomak,,Poland,4,,,,,,1.0,,,,3.0,,
Armoured Personnel Carriers,BTR-60PB,,the Soviet Union,24,,,,7.0,,,,1.0,,16.0,,
