"Title","Location","Company","Employment_Type","site_name","Salary_from","Salary_to","Job_Category","Salary"
"інженер-програміст","Черкаси","ПП ""ІНФОМЕД ПЛЮС""","Full-Time","governmental",45000,45000,"Software Development",NA
"інженер-програміст","Южне","ПІВДЕННА ФІЛІЯ ДЕРЖАВНОГО ПІДПРИЄМСТВА ""АДМІНІСТРАЦІЯ МОРСЬКИХ ПОРТІВ УКРАЇНИ"" (АДМІНІСТРАЦІЯ МОРСЬК","Full-Time","governmental",23465,23465,"Software Development",NA
"програміст","Ковель","ТОВ ""КОМПАНІЯ АЛТЕКС""","Full-Time","governmental",15000,15000,"Software Development",NA
"інженер-програміст","Суворовський","МКП ""ВИРОБНИЧЕ УПРАВЛІННЯ ВОДОПРОВІДНО-КАНАЛІЗАЦІЙНОГО ГОСПОДАРСТВА М.ХЕРСОНА""","Full-Time","governmental",22000,22000,"Software Development",NA
"інженер-програміст","Київський","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ХАРКІВЕНЕРГОЗБУТ""%","Full-Time","governmental",18500,18500,"Software Development",NA
"технік-програміст","Горбанівка","РЕГІОНАЛЬНА ДЕРЖАВНА ЛАБОРАТОРІЯ ДЕРЖПРОДСПОЖИВСЛУЖБИ В ПОЛТАВСЬКІЙ ОБЛАСТІ","Full-Time","governmental",14000,14000,"Software Development",NA
"інженер-програміст","Вінниця","КНП ""ВМКЛ ""ЦМТАД""","Full-Time","governmental",12000,12000,"Software Development",NA
"інженер-програміст","Суворовський","КНП """"ХЕРСОНСЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ"" ХОР","Full-Time","governmental",12000,12000,"Software Development",NA
"інженер-програміст","Печерський","""МУЗЕЙ ІВАНА ГОНЧАРА""","Full-Time","governmental",11000,11000,"Software Development",NA
"програміст","Сміла","МИРОНЕНКО ДМИТРО ДЕНИСОВИЧ","Full-Time","governmental",25000,25000,"Software Development",NA
"інженер-програміст","Черкаси","ТОВ ""ПРОТЕКТ ІНЖИНІРИНГ""","Full-Time","governmental",20000,20000,"Software Development",NA
"інженер-програміст","Одеса","ФІЛІЯ ""ІНФОКСВОДОКАНАЛ""","Full-Time","governmental",15640,15640,"Software Development",NA
"інженер-програміст","Івано-Франківськ","ІВАНО-ФРАНКІВСЬКИЙ ЛІЦЕЙ МВС","Full-Time","governmental",15000,15000,"Software Development",NA
"інженер-програміст","Кам'янець-Подільський","Будівельно - господарський гіпермаркет м. Кам-Подільський ""ЕПІЦЕНТР К""","Full-Time","governmental",14000,14000,"Software Development",NA
"програміст","Черкаси","УОЗ ЧОДА","Full-Time","governmental",10309,10309,"Software Development",NA
"інженер-програміст","ШЕВЧЕНКІВСЬКИЙ","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""4-А МІСЬКА КЛІНІЧНА ЛІКАРНЯ ПОЛТАВСЬКОЇ МІСЬКОЇ РАДИ ІМЕНІ ЛЕОНІДА КУРОЄДОВ","Full-Time","governmental",10000,10000,"Software Development",NA
"програміст","Тернопіль","ТЕРНОПІЛЬСЬКИЙ МІСЬКИЙ ТЕРИТОРІАЛЬНИЙ ЦЕНТР СОЦІАЛЬНОГО ОБСЛУГОВУВАННЯ НАСЕЛЕННЯ (НАДАННЯ СОЦІАЛЬНИ","Full-Time","governmental",8000,8000,"Software Development",NA
"програміст","ДНІПРОВСЬКИЙ","ТОВ ""АЛ-МЕГА""","Full-Time","governmental",8000,8000,"Software Development",NA
"технік-програміст","Біла Церква","ТОВ""ЕРІДОН БУД""","Full-Time","governmental",25000,25000,"Software Development",NA
"інженер-програміст","Солом'янський","КНДУ ""НДІРОМ""","Full-Time","governmental",18000,18000,"Software Development",NA
"інженер-програміст","Червоноград","ТЗОВ ""ВІЗОР-ГАЛ""","Full-Time","governmental",15000,15000,"Software Development",NA
"програміст","Шевченківський","ТОВ ""ЕЙ БІ ЕМ ТЕХНОЛОДЖІ""","Full-Time","governmental",35000,35000,"Software Development",NA
"інженер-програміст","Южноукраїнськ","ФІЛІЯ ""ВІДОКРЕМЛЕНИЙ ПІДРОЗДІЛ ""ПІВДЕННОУКРАЇНСЬКА АТОМНА ЕЛЕКТРИЧНА СТАНЦІЯ"" АКЦІОНЕРНОГО ТОВАРИСТВ","Full-Time","governmental",20336,20336,"Software Development",NA
"інженер-програміст","Ладан (видалений)","ТОВ ""ПК ""ПОЖМАШИНА""","Full-Time","governmental",20000,20000,"Software Development",NA
"інженер-програміст","СЛОБІДСЬКИЙ","ДЕРЖАВНЕ ПIДПРИЄМСТВО ""ЗАВОД ІМЕНІ В.О.МАЛИШЕВА""","Full-Time","governmental",20000,20000,"Software Development",NA
"програміст","Яготин","ТОВ ""УКРСТАРЧ""","Full-Time","governmental",20000,20000,"Software Development",NA
"інженер-програміст","Сміла","ПРАТ ""СПЕКТР-СМІЛА""","Full-Time","governmental",20000,20000,"Software Development",NA
"програміст","Дрогобич","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""МАЖУРА""","Full-Time","governmental",15000,15000,"Software Development",NA
"інженер-програміст","Луцьк","ВОЛИНСЬКИЙ ОБЛАСНИЙ ЦЕНТР З ГІДРОМЕТЕОРОЛОГІЇ","Full-Time","governmental",14000,14000,"Software Development",NA
"інженер-програміст","Жовті Води","ДП ""СХІДГЗК""","Full-Time","governmental",13500,13500,"Software Development",NA
"адміністратор веб-ресурсів","Костопіль","КНП ""КОСТОПІЛЬСЬКИЙ ЦЕНТР ПМД""","Full-Time","governmental",12000,12000,"System Administration / DevOps",NA
"програміст","Виноградів","ЧЕНГЕРІ КАРЛО КАРЛОВИЧ","Full-Time","governmental",10000,10000,"Software Development",NA
"адміністратор веб-сайту","Ланівці","ТОВ ""ВР-ТЕКСТИЛЬ""","Full-Time","governmental",10000,10000,"System Administration / DevOps",NA
"інженер-програміст","Вінниця","ОКО ""ДАТА-ЦЕНТР СОЦІАЛЬНОЇ СФЕРИ""","Full-Time","governmental",9000,9000,"Software Development",NA
"інженер-програміст","Металургійний","ТОВ ""АКЦЕПТ КР""","Full-Time","governmental",8200,8200,"Software Development",NA
"інженер-програміст","Тернівка","КНП ""ЦПМСД М.ТЕРНІВКИ""","Full-Time","governmental",8100,8100,"Software Development",NA
"інженер-програміст","ОЛЕКСАНДРІВСЬКИЙ","ЗАПОРІЗЬКИЙ НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ","Full-Time","governmental",8000,8000,"Software Development",NA
"інженер-програміст","Солом'янський","ТОВ ""ЮБІКВІТІ ЛАБС УКРАЇНА""","Full-Time","governmental",90000,90000,"Software Development",NA
"інженер-програміст","Вінниця","АТ ""ВІННИЦЯОБЛЕНЕРГО""","Full-Time","governmental",19000,19000,"Software Development",NA
"технік-програміст","Шевченківський","КМЦГР",NA,"governmental",15000,15000,"Software Development",NA
"програміст","Приморський","ТОВ ""БІЗНЕС, ІННОВАЦІЇ, ТЕХНОЛОГІЇ""","Full-Time","governmental",14000,14000,"Software Development",NA
"технік-програміст","Первомайськ","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ПЕРВОМАЙСЬКОЇ МІСЬКОЇ РАДИ ""ПЕРВОМАЙСЬКЕ УПРАВЛІННЯ ВОДОПРОВІДНО-КАНАЛІЗАЦІЙ","Full-Time","governmental",13692,13692,"Software Development",NA
