Title,Salary,Location,Employment_Type,Working_hours,Suitable_candidates,Payment_type,Experience,With_accommodation,Is_executive,Link
Профессиональная команда в поиске специалиста в IT сфере,2 000 - 3 000 $ / за месяц,"Киев, Шевченковский",Частичная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/professionalnaya-komanda-v-poiske-spetsialista-v-it-sfere-IDVRBUm.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Кривой Рог, Саксаганский",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTn5gp.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Запорожье, Вознесеновский",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDWBVQf.html
Онлайн робота. Редагування тексту. Без досвіду. Щоденна оплата,20 000 - 26 000 грн. / за месяц,"Киев, Подольский",Удаленная работа,Гибкий график,"Подходит кандидатам: Старше 45 лет, C инвалидностью, Студентам, В декрете, Со статусом УБД, Младше 18 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/onlayn-robota-redaguvannya-tekstu-bez-dosvdu-schodenna-oplata-IDVSccw.html
Робота дистанційно,50 - 1 000 $ / за месяц,Черновцы,Удаленная работа,Неполный рабочий день,"Подходит кандидатам: В декрете, Пенсионного возраста, Со статусом УБД, C инвалидностью, Студентам, Старше 45 лет, Младше 18 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/robota-distantsyno-IDVP6oA.html
ІТ-Спеціаліст без досвіду,22 000 - 27 000 грн. / за месяц,"Киев, Шевченковский",Полная занятость,Полный рабочий день,Подходит кандидатам: Студентам,,,False,False,https://www.olx.ua/obyavlenie/rabota/t-spetsalst-bez-dosvdu-IDVioCZ.html
Тестувальник,8 000 - 16 000 грн. / за месяц,"Львов, Галицкий",Удаленная работа,Гибкий график,"Подходит кандидатам: В декрете, C инвалидностью, Со статусом УБД, Студентам, Старше 45 лет, Младше 18 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/testuvalnik-IDVSl5K.html
Тестування мобільної гри Android,1 - 50 грн. / за час,"Львов, Галицкий",Подработка,Гибкий график,"Подходит кандидатам: Старше 45 лет, C инвалидностью, Пенсионного возраста, Студентам, В декрете, Со статусом УБД, Младше 18 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/testuvannya-moblno-gri-android-IDVLPMP.html
Python-програміст (trainee),30 000 - 33 000 грн. / за месяц,"Киев, Печерский",Полная занятость,Полный рабочий день,,,,False,False,https://www.olx.ua/obyavlenie/rabota/python-programst-trainee-IDVpG5P.html
Тестувальник ігор,15 000 - 25 000 грн. / за месяц,"Львов, Железнодорожный",Удаленная работа,Гибкий график,"Подходит кандидатам: Со статусом УБД, В декрете, C инвалидностью, Младше 18 лет, Пенсионного возраста, Студентам, Старше 45 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/testuvalnik-gor-IDVMu1G.html
Збиральник ПК (Київ),23 000 - 26 000 грн. / за месяц,"Киев, Голосеевский",Полная занятость,Полный рабочий день,Подходит кандидатам: Студентам,,,False,False,https://www.olx.ua/obyavlenie/rabota/zbiralnik-pk-kiv-IDVdmsX.html
Контент менеджер віддалено,7 000 - 10 000 грн. / за месяц,"Киев, Голосеевский",Удаленная работа,Гибкий график,"Подходит кандидатам: Со статусом УБД, Пенсионного возраста, C инвалидностью, В декрете, Старше 45 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/kontent-menedzher-vddaleno-IDVSf2Y.html
Trainee Front-end Developer,25 000 грн. / за месяц,"Киев, Печерский",Полная занятость,Полный рабочий день,Подходит кандидатам: Студентам,,,False,False,https://www.olx.ua/obyavlenie/rabota/trainee-front-end-developer-IDVzf4x.html
Вакансія рекрутера — потрібні відповідальні люди,20 000 - 30 000 грн. / за месяц,Чернигов,Полная занятость,Гибкий график,"Подходит кандидатам: Студентам, Младше 18 лет, Со статусом УБД",,,False,False,https://www.olx.ua/obyavlenie/rabota/vakansya-rekrutera-potrbn-vdpovdaln-lyudi-IDVKYjH.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за месяц,"Харьков, Шевченковский",Полная занятость,Гибкий график,,,,False,False,https://www.olx.ua/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDUh0bQ.html
Запрошуємо майстрів з ремонту комп'ютерів – заробіток до 80 000 грн на,40 000 - 80 000 грн. / за месяц,"Львов, Галицкий",Полная занятость,Гибкий график,"Подходит кандидатам: В декрете, C инвалидностью, Младше 18 лет, Пенсионного возраста, Студентам, Старше 45 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/zaproshumo-maystrv-z-remontu-kompyuterv-zarobtok-do-80-000-grn-na-IDVFZJV.html
набір гравців у перспективну гру,55 - 62.50 грн. / за час,"Харьков, Слободской",Удаленная работа,Неполный рабочий день,"Подходит кандидатам: Пенсионного возраста, Младше 18 лет, Студентам, Старше 45 лет, В декрете",,,False,False,https://www.olx.ua/obyavlenie/rabota/nabr-gravtsv-u-perspektivnu-gru-IDVShFM.html
Системний адміністратор,54 000 - 100 000 грн. / за месяц,"Киев, Подольский",Полная занятость,Полный рабочий день,"Подходит кандидатам: Младше 18 лет, Студентам, C инвалидностью, Со статусом УБД",,,False,False,https://www.olx.ua/obyavlenie/rabota/sistemniy-admnstrator-IDVKGla.html
Оператор ПК в команду,8 000 - 12 000 грн. / за месяц,"Киев, Днепровский",Удаленная работа,Полный рабочий день,"Подходит кандидатам: C инвалидностью, Студентам",,,False,False,https://www.olx.ua/obyavlenie/rabota/operator-pk-v-komandu-IDVNnrg.html
Арбитраж трафика на телеграмм канал,1 000 - 10 000 грн. / за месяц,Уклин,Подработка,Гибкий график,"Подходит кандидатам: Студентам, Младше 18 лет, Старше 45 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/arbitrazh-trafika-na-telegramm-kanal-IDVKs7v.html
Тrainee QA Engineer,30 000 - 35 000 грн. / за месяц,"Киев, Печерский",Полная занятость,Полный рабочий день,Подходит кандидатам: Студентам,,,False,False,https://www.olx.ua/obyavlenie/rabota/trainee-qa-engineer-IDVhhSC.html
Наповнення сайту,,"Киев, Голосеевский",Удаленная работа,Гибкий график,,,,False,False,https://www.olx.ua/obyavlenie/rabota/napovnennya-saytu-IDVGT99.html
Тестувальник мобільних ігор,17 000 - 22 000 грн. / за месяц,Белая Церковь,Полная занятость,Полный рабочий день,"Подходит кандидатам: Студентам, Младше 18 лет",,,False,False,https://www.olx.ua/obyavlenie/rabota/testuvalnik-moblnih-gor-IDVOWac.html
