Title,Salary,Location,Employment Type
"Модератор сайту Work.ua, спеціаліст техпідтримки",18 000 – 23 000 грн,Дніпро,Повна зайнятість
Sales manager,Poster,Львів,Повна зайнятість
Офіс-менеджер,19 000 – 20 000 грн,Дніпро,Повна зайнятість
SMM-менеджер,Work.ua,Київ,Повна зайнятість
Спеціаліст технічної підтримки,25 000 – 35 000 грн,Київ,Повна зайнятість
Інспектор з кадрів,23 000 – 25 000 грн,Дніпро,Повна зайнятість
Бухгалтер,28 000 – 32 000 грн,Дніпро,Повна зайнятість
Junior Influence manager,SoftSvit,Київ,Повна зайнятість
"Сервісний інженер, системний адміністратор",25 000 – 30 000 грн,Київ,Повна зайнятість
"Директор з маркетингу, CMO",Prometheus,Дистанційно,Повна зайнятість
Customer Support Representative (Polish language),SoftSvit,Дистанційно,Повна зайнятість
"Запис та збір даних по мобільним іграм, аналітик",12 000 грн,Дистанційно,Повна зайнятість
Middle SEO Specialist,35 000 – 40 000 грн,Дистанційно,Повна зайнятість
Керівник відділу продажу,"Мрія, освітній застосунок",Київ,Повна зайнятість
System Analyst,Kyivstar.Tech,Дистанційно,Повна зайнятість
Оператор з обробки даних,Ajax Systems,Київ,Повна зайнятість
Оператор служби підтримки (вхідна лінія),13 000 – 18 000 грн,Київ,Повна зайнятість
Менеджер по роботі з партнерами (постачальники),Giftmall,Київ,Повна зайнятість
SEO Specialist (Prom),EVO,Київ,Повна зайнятість
"Менеджер з продажу IT-продукту (В2В, теплі продажі)",20 000 – 50 000 грн,Дистанційно,Повна зайнятість
Senior Sales Manager (Вчасно.Kаса),45 000 – 55 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажів (IT),"Dilovod, онлайн-бухгалтерія",Дистанційно,Повна зайнятість
Викладач англійської мови (онлайн),21 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Викладач математики (середня та старша школа),15 000 – 20 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Копірайтер, гравець в мобільні ігри",14 000 грн,Дистанційно,Повна зайнятість
Менеджер з продажу IT-продукту,25 000 – 60 000 грн,Дистанційно,Повна зайнятість
Консультант онлайн-курсів для дітей (IT-школа),15 000 – 30 000 грн,Київ,Повна зайнятість
Менеджер телефонної підтримки,15 400 – 19 000 грн,Дистанційно,Повна зайнятість
Фахівець технічної підтримки,10 000 – 20 000 грн,Дніпро,Повна зайнятість
Фахівець з продажу (ІТ-продукти),20 000 – 40 000 грн,Київ,Повна зайнятість
"Фінансовий менеджер, фінансист",Zviger LLC,Дистанційно,Повна зайнятість
"Водій зі своїм вантажним авто (розвезення товарів, місто)",90 000 – 150 000 грн,Полтава,Повна зайнятість
Product Owner,Work.ua,Дніпро,Повна зайнятість
CEO (new project),Galaktica,Дистанційно,Повна зайнятість
"Digital Marketing Manager, PPC Specialist",Giftmall,Київ,Повна зайнятість
Marketing manager,Вчасно,Дистанційно,Повна зайнятість
Support Specialist (Moderation team),SKELAR,Дистанційно,Повна зайнятість
Chat support manager,16 500 – 19 000 грн,Дистанційно,Повна зайнятість
Senior System Administrator,Kyivstar.Tech,Дистанційно,Повна зайнятість
Медичний координатор,31 000 – 50 000 грн,Дистанційно,Повна зайнятість
Системний адміністратор,30 000 – 40 000 грн,Дніпро,Повна зайнятість
Менеджер з продажу,35 000 – 50 000 грн,Львів,Повна зайнятість
Account manager (Polish language),SoftSvit,Дистанційно,Повна зайнятість
Audit specialist,EvoPlay,Дистанційно,Повна зайнятість
Payroll manager,EvoPlay,Київ,Повна зайнятість
Менеджер з продажу (ІТ-послуги),25 000 – 50 000 грн,Київ,Повна зайнятість
Support manager,22 000 – 40 000 грн,Київ,Повна зайнятість
Тестувальник ігор,"Рекшинський Б.В., ФОП",Дистанційно,Неповна зайнятість
Assistant System Administrator,SoftSvit,Київ,Повна зайнятість
Менеджер із супроводження В2В-клієнтів,Innoware,Дистанційно,Повна зайнятість
Affiliate Support manager,SoftSvit,Київ,Повна зайнятість
Консультант технічної підтримки,25 000 – 30 000 грн,Київ,Повна зайнятість
Монтажер-аніматор для створення вiдео на YouTube,12 000 – 17 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"3D-моделер Solidworks, Invertor, 3D Max (Blender)",30 000 – 35 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
Бухгалтер,Айті Сервіс+,Вінниця,"Повна зайнятість, неповна зайнятість"
"Бизнес–ассистент, маркетолог",33 500 – 45 000 грн,Дистанційно,Повна зайнятість
Junior Communication Specialist,10 000 – 27 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
French teacher,15 000 – 25 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
Стажер в отдел аналитики интернет-маркетинга,22 000 грн,Одеса,Повна зайнятість
Стажер в отдел интернет-маркетинга,22 000 грн,Одеса,Повна зайнятість
Менеджер з продажу автозапчастин,15 000 – 45 000 грн,Рівне,Повна зайнятість
Customer Service Specialist,Ajax Systems,Київ,Повна зайнятість
Finance manager (iGaming),"Pro Gaming Software, LTD",Дистанційно,Повна зайнятість
Менеджер по привлечению клиентов,15 000 – 22 000 грн,Дистанційно,Повна зайнятість
LinkBuilder,Playduck.tech,Дистанційно,Повна зайнятість
SEO Specialist (Middle),Playduck.tech,Дистанційно,Повна зайнятість
Social Media Moderator,SKELAR,Дистанційно,Повна зайнятість
"YouTube Script Writer, Copywriter",30 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Адміністратор, оператор атракціонів",25 000 – 35 000 грн,Київ,"Повна зайнятість, неповна зайнятість"
Billing Operations Specialist,SKELAR,Дистанційно,Повна зайнятість
SMM-менеджер,25 000 – 45 000 грн,Дистанційно,Повна зайнятість
Financial Team Lead,GoITeens,Дистанційно,Повна зайнятість
"Content Writer, копірайтер",DiJust,Київ,Повна зайнятість
Менеджер з продажу,20 000 – 50 000 грн,Дніпро,Повна зайнятість
"KAM, медичний представник",40 000 грн,Івано-Франківськ,Повна зайнятість
Журналіст,30 000 – 50 000 грн,Львів,Повна зайнятість
Менеджер з міжнародної співпраці,15 000 – 25 000 грн,Дистанційно,Повна зайнятість
"IT Helpdesk Specialist (junior, senior)",IT4Empire,Чернігів,"Повна зайнятість, неповна зайнятість"
Контролер ВТК,Ozzylogik LTD,Стрий,Повна зайнятість
Middle C#/.NET Developer у Хотів,Techiia Holding,Хотів шукаємо у Києві,Повна зайнятість
"Консультант-впроваджувач, бізнес-аналітик 1С","Комплексне управління бізнес-процесами, ТОВ",Дистанційно,Повна зайнятість
Media Buyer (FB),Kombine Tech,Дистанційно,Повна зайнятість
SQL Developer,Ornament Soft Solutions,Дистанційно,Повна зайнятість
Outreach manager,18 000 – 20 000 грн,Дистанційно,Повна зайнятість
Провідний бухгалтер,ІТ-Інтегратор,Київ,Повна зайнятість
Finance Manager,EvoPlay,Дистанційно,Повна зайнятість
Technical writer (Ajax Academy),Ajax Systems,Київ,Повна зайнятість
Direct Manager,Developers,Дистанційно,Повна зайнятість
Junior 2D Motion Designer,BetterMe,Дистанційно,Повна зайнятість
Copywriter,Atlim,Київ,Повна зайнятість
Contact Center Operator (ID 239),Helsi,Київ,Повна зайнятість
DevOps engineer,60 000 – 88 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Менеджер з продажів CRM, ERP-системи",30 000 – 40 000 грн,Дистанційно,Повна зайнятість
Technical writer,EvoPlay,Київ,Повна зайнятість
Контент-менеджер зі знанням турецької мови,EvoPlay,Київ,Повна зайнятість
Помічник трейдера,100 000 – 120 000 грн,Київ,Повна зайнятість
Контент-менеджер зі знанням турецької і англійської мов,EvoPlay,Дистанційно,Повна зайнятість
Linkbuilding specialist,EvoPlay,Київ,Повна зайнятість
Copywriter,Translators,Дистанційно,Повна зайнятість
"Junior FullStack (React. js, Node. js) Developer",DigitalSuits,Дистанційно,Повна зайнятість
Financial controller (нічна зміна),EvoPlay,Київ,Повна зайнятість
IT Project Manager,Solid Solutions,Запоріжжя,Повна зайнятість
"Middle, Senior 3D Props Artist",Gameloft,Дистанційно,Повна зайнятість
Support monitoring manager,EvoPlay,Київ,Повна зайнятість
"Водій (міжнародні вантажні перевезення, кат. В)",12 000 – 36 000 грн,Полтава,"Повна зайнятість, неповна зайнятість"
"Менеджер проєктів (впровадження CRM, систем автоматизації)",30 000 – 50 000 грн,Дистанційно,Повна зайнятість
Адміністратор даних,Національні інформаційні системи,Чернівці,Повна зайнятість
Junior Manual QA Engineer (Regress Team),Ajax Systems,Київ,Повна зайнятість
Customer Support Specialist (German),Yellow Stone,Дистанційно,Повна зайнятість
Customer Support Specialist (Spanish),WhiteBIT,Дистанційно,Повна зайнятість
Frontend-розробник (Opencart),WebLife,Дистанційно,"Повна зайнятість, неповна зайнятість"
Account Manager (Billing),EvoPlay,Київ,Повна зайнятість
Account manager,Halo Lab,Дистанційно,Повна зайнятість
Fundraiser,Galaktica,Київ,Повна зайнятість
